"county","year","population.estimate","population.quintile","state.frac","state.frac.quintile","pop.per.chg","pop.per.chg.quintile"
"Glenn",2005,27394,1,0.000763719866081105,1,0.676221977214259,3
"Glenn",2006,27628,1,0.00076497523189177,1,0.85420164999635,3
"Glenn",2007,27872,1,0.000765721101473541,1,0.883162009555523,4
"Glenn",2008,28066,1,0.000764649990634631,1,0.696039035591274,3
"Glenn",2009,28088,1,0.000759818705006312,1,0.0783866600156773,1
"Glenn",2010,28120,1,0.000755428635903277,1,0.113927655938479,1
"Glenn",2011,28238,1,0.000752274399266747,1,0.419630156472262,2
"Glenn",2012,28317,1,0.000747518099734389,1,0.279764855867979,2
"Glenn",2013,28414,1,0.000743059342208639,1,0.342550411413638,2
"Glenn",2014,28489,1,0.000738679724790788,1,0.263954388681636,1
"Glenn",2015,28579,1,0.000734534362169776,1,0.315911404401699,2
"Glenn",2016,28668,1,0.000730285445368787,1,0.311417474369292,2
"Humboldt",1981,109700,3,0.00456341777944174,3,NA,NA
"Humboldt",1982,110200,3,0.00448934696704282,3,0.455788514129444,3
"Humboldt",1983,109700,3,0.00437470090923592,3,-0.453720508166969,1
"Humboldt",1984,109900,3,0.00429514988079884,3,0.182315405651778,2
"Humboldt",1985,110500,3,0.00423160877723739,3,0.545950864422202,3
"Humboldt",1986,111200,3,0.00415825293545733,3,0.633484162895928,4
"Humboldt",1987,112200,3,0.00409668467942164,3,0.899280575539568,4
"Humboldt",1988,113800,3,0.00405545062542318,3,1.42602495543672,5
"Humboldt",1989,115800,3,0.00402488617010184,3,1.75746924428822,5
"Humboldt",1990,118400,3,0.00400568374044252,3,2.24525043177893,5
"Humboldt",1991,120404,3,0.00399435302173217,3,1.69256756756757,5
"Humboldt",1992,122410,3,0.00398431168729041,3,1.6660576060596,5
"Humboldt",1993,124028,3,0.00398153677406406,3,1.32178743566702,5
"Humboldt",1994,124568,3,0.00396474228602238,3,0.435385558099784,3
"Humboldt",1995,124721,3,0.00394464884778402,3,0.122824481407745,2
"Humboldt",1996,125161,3,0.00393125707285322,3,0.352787421524843,2
"Humboldt",1997,125847,3,0.00390733705480484,3,0.548094054857344,3
"Humboldt",1998,125908,3,0.00385536389888418,3,0.0484715567315868,1
"Humboldt",1999,125928,3,0.00379979089804519,3,0.015884614162722,1
"Humboldt",2000,126476,3,0.00375059498244789,3,0.435169303093831,3
"Humboldt",2001,127011,3,0.00370761544521876,3,0.423005155128246,3
"Humboldt",2002,128052,3,0.00368754779626601,3,0.819614049176843,4
"Humboldt",2003,129468,3,0.00368187463351671,3,1.10580076843782,5
"Humboldt",2004,130712,3,0.00367469461719593,3,0.96085519201656,4
"Humboldt",2005,131467,3,0.00366518068314538,3,0.577605728624763,4
"Humboldt",2006,131958,3,0.00365370644454807,3,0.373477754873847,2
"Humboldt",2007,132443,2,0.00363857634337185,2,0.367541187347489,2
